word,stratum,gold,morpheus_seg,morpheus_root,morpheus_count,morpheus_len,morpheus_exact,morfessor_seg,morfessor_root,morfessor_count,morfessor_len,morfessor_exact,bpe-64k_seg,bpe-64k_root,bpe-64k_count,bpe-64k_len,bpe-64k_exact,byte_bpe-64k_seg,byte_bpe-64k_root,byte_bpe-64k_count,byte_bpe-64k_len,byte_bpe-64k_exact,unigram-64k_seg,unigram-64k_root,unigram-64k_count,unigram-64k_len,unigram-64k_exact,wordpiece-64k_seg,wordpiece-64k_root,wordpiece-64k_count,wordpiece-64k_len,wordpiece-64k_exact,turkish-tokenizer_seg,turkish-tokenizer_root,turkish-tokenizer_count,turkish-tokenizer_len,turkish-tokenizer_exact
fonksiyonlar,rare_root,fonksiyon | lar,fonksiyon | lar,1,1,1,1,fonk | siyon | lar,0,0,0,0,fonksiyon | lar,1,1,1,1,fonksiyon | lar,1,1,1,1,fonksiyon | lar,1,1,1,1,fonksiyonlar,0,0,0,0,fonksiyon | lar,1,1,1,1
moleküllerin,rare_root,molekül | ler | in,moleküller | in,0,0,0,0,mo | le | kül | lerin,0,0,0,0,molekül | lerin,1,0,0,0,molekül | lerin,1,0,0,0,molekül | lerin,1,0,0,0,molekul | lerin,0,0,0,0,molekül | lar | ün,1,1,1,0
parametreler,rare_root,parametre | ler,parametre | ler,1,1,1,1,parametre | ler,1,1,1,1,parametreler,0,0,0,0,parametreler,0,0,0,0,parametreler,0,0,0,0,parametreler,0,0,0,0,parametre | lar,1,1,1,0
enzimlerde,rare_root,enzim | ler | de,enzim | lerde,1,0,0,0,en | z | im | lerde,0,0,0,0,enzim | lerde,1,0,0,0,enzim | lerde,1,0,0,0,enzim | lerde,1,0,0,0,enzim | lerde,1,0,0,0,enzim | lar | da,1,1,1,0
izotoplar,rare_root,izotop | lar,izotop | lar,1,1,1,1,iz | o | top | lar,0,0,0,0,iz | ot | op | lar,0,0,0,0,iz | ot | op | lar,0,0,0,0,izo | top | lar,0,0,0,0,izo | top | lar,0,0,0,0,izotop | lar,1,1,1,1
katalizörler,rare_root,katalizör | ler,katalizör | ler,1,1,1,1,kat | alizör | ler,0,0,0,0,katal | iz | ör | ler,0,0,0,0,katal | iz | ör | ler,0,0,0,0,kata | li | z | ör | ler,0,0,0,0,katalizor | ler,0,1,1,0,katalizör | lar,1,1,1,0
polimerler,rare_root,polimer | ler,polimer | ler,1,1,1,1,pol | ime | rler,0,0,0,0,pol | im | erler,0,0,0,0,pol | im | erler,0,0,0,0,poli | mer | ler,0,0,0,0,polimer | ler,1,1,1,1,polimer | lar,1,1,1,0
vektörler,rare_root,vektör | ler,vektör | ler,1,1,1,1,ve | k | tör | ler,0,0,0,0,vektör | ler,1,1,1,1,vektör | ler,1,1,1,1,ve | ktör | ler,0,0,0,0,vektor | ler,0,1,1,0,vektör | lar,1,1,1,0
matrisler,rare_root,matris | ler,matris | ler,1,1,1,1,mat | ris | ler,0,0,0,0,matr | isler,0,1,0,0,matr | isler,0,1,0,0,mat | ris | ler,0,0,0,0,matris | ler,1,1,1,1,matris | lar,1,1,1,0
türevler,rare_root,türev | ler,türev | ler,1,1,1,1,tür | ev | ler,0,0,0,0,türev | ler,1,1,1,1,türev | ler,1,1,1,1,tür | ev | ler,0,0,0,0,turev | ler,0,1,1,0,türev | lar,1,1,1,0
integraller,rare_root,integral | ler,integral | ler,1,1,1,1,integral | ler,1,1,1,1,integral | ler,1,1,1,1,integr | aller,0,1,0,0,integral | ler,1,1,1,1,integral | ler,1,1,1,1,integral | lar,1,1,1,0
